Game_ID,Result,Home,Away,Date,Won,Won_Points,Lost,Lost_Points,Home_Won
401267294,"CHA 113, ATL 105",Charlotte Hornets,Atlanta Hawks,20210109,Charlotte Hornets,113,Atlanta Hawks,105,Yes
401267295,"PHX 125, IND 117",Indiana Pacers,Phoenix Suns,20210109,Phoenix Suns,125,Indiana Pacers,117,No
401267296,"MIA 128, WSH 124",Washington Wizards,Miami Heat,20210109,Miami Heat,128,Washington Wizards,124,No
401267297,"MIL 100, CLE 90",Milwaukee Bucks,Cleveland Cavaliers,20210109,Milwaukee Bucks,100,Cleveland Cavaliers,90,Yes
401267298,"SA 125, MIN 122 (OT)",Minnesota Timberwolves,San Antonio Spurs,20210109,San Antonio Spurs,125,Minnesota Timberwolves,122,No
401267299,"DAL 112, ORL 98",Dallas Mavericks,Orlando Magic,20210109,Dallas Mavericks,112,Orlando Magic,98,Yes
401267300,"POR 125, SAC 99",Sacramento Kings,Portland Trail Blazers,20210109,Portland Trail Blazers,125,Sacramento Kings,99,No
401267334,"PHI 125, MIA 108",Philadelphia 76ers,Miami Heat,20210114,Philadelphia 76ers,125,Miami Heat,108,Yes
401267335,"TOR 111, CHA 108",Toronto Raptors,Charlotte Hornets,20210114,Toronto Raptors,111,Charlotte Hornets,108,Yes
401267336,"HOU 109, SA 105",San Antonio Spurs,Houston Rockets,20210114,Houston Rockets,109,San Antonio Spurs,105,No
401267337,"DEN 114, GS 104",Denver Nuggets,Golden State Warriors,20210114,Denver Nuggets,114,Golden State Warriors,104,Yes
401267338,"IND 111, POR 87",Portland Trail Blazers,Indiana Pacers,20210114,Indiana Pacers,111,Portland Trail Blazers,87,No
401267373,"DEN 119, OKC 101",Denver Nuggets,Oklahoma City Thunder,20210119,Denver Nuggets,119,Oklahoma City Thunder,101,Yes
401267374,"UTAH 118, NO 102",Utah Jazz,New Orleans Pelicans,20210119,Utah Jazz,118,New Orleans Pelicans,102,Yes
401267375,Postponed,Charlotte Hornets,Washington Wizards,20210120,,,,,
401267376,"CLE 147, BKN 135 (2OT)",Cleveland Cavaliers,Brooklyn Nets,20210120,,,,,
401267377,"DAL 124, IND 112",Indiana Pacers,Dallas Mavericks,20210120,,,,,
401267378,"PHI 117, BOS 109",Philadelphia 76ers,Boston Celtics,20210120,,,,,
401267379,"ATL 123, DET 115 (OT)",Atlanta Hawks,Detroit Pistons,20210120,,,,,
401267380,"MIA 111, TOR 102",Toronto Raptors,Miami Heat,20210120,,,,,
401267381,"ORL 97, MIN 96",Minnesota Timberwolves,Orlando Magic,20210120,,,,,
401267382,"PHX 109, HOU 103",Houston Rockets,Phoenix Suns,20210120,,,,,
401267383,"GS 121, SA 99",Golden State Warriors,San Antonio Spurs,20210120,,,,,
